pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp
2057,573186,"Stroman, Marcus",2057,100,0.226,0.097,0.277,0.323,0.28,0.311,0.256,109,483,90.2,2.5,2427,89.2,85.59,206,924,1133,-3.6,5.78,112,149,115,151,298,323,294,8.4,-8.4
1975,592767,"Smyly, Drew",1975,100,0.267,0.223,0.297,0.49,0.348,0.316,0.248,123,461,86.9,19.4,2074,85,84.16,228,918,1057,-0.8,5.7,109,151,114,149,302,324,291,-10.3,10.3
1833,657006,"Steele, Justin",1833,100,0.247,0.119,0.306,0.366,0.291,0.293,0.244,114,462,86.2,9.9,2476,88.8,84.81,230,963,870,-4,6.27,108,151,115,150,301,324,289,13,-13
1571,592791,"Taillon, Jameson",1571,100,0.276,0.186,0.315,0.462,0.342,0.347,0.271,102,370,88.3,17.5,2477,88.7,89.18,154,772,799,0.5,6.68,110,149,115,151,300,325,294,-12.2,12.2
1228,543294,"Hendricks, Kyle",1228,100,0.248,0.156,0.265,0.403,0.293,0.315,0.267,78,315,85.1,12.1,2128,84.2,83.48,105,570,657,-0.7,5.69,113,149,114,151,300,323,295,1.5,-1.5
1072,669713,"Wesneski, Hayden",1072,100,0.239,0.227,0.242,0.467,0.326,0.36,0.276,61,255,87.9,15.7,2263,88,87.38,102,498,574,-0.6,6.76,111,150,113,151,300,324,294,-3.3,3.3
886,657240,"Merryweather, Julian",886,100,0.244,0.098,0.341,0.342,0.298,0.29,0.215,47,193,88.5,15.3,2253,91,89.95,150,441,445,-1,6.46,108,150,115,151,301,324,292,4.3,-4.3
870,665871,"Assad, Javier",870,100,0.242,0.165,0.279,0.407,0.32,0.332,0.253,47,194,86.6,10.1,2048,89.4,89.74,75,376,494,0.3,6.44,110,149,115,150,299,322,294,5.4,-5.4
839,605242,"Fulmer, Michael",839,100,0.229,0.156,0.292,0.385,0.309,0.315,0.236,41,179,86.1,14.9,2462,89.7,85.58,126,391,448,-4.1,6.7,110,149,114,150,300,323,292,6.1,-6.1
782,643410,"Leiter Jr., Mark",782,100,0.173,0.139,0.234,0.312,0.259,0.293,0.204,30,173,88,9.3,1655,87,86.53,121,345,437,-0.5,6.68,112,148,112,151,297,325,295,9.6,-9.6
720,640470,"Alzolay, Adbert",720,100,0.223,0.117,0.295,0.341,0.262,0.262,0.219,40,179,87.9,11.9,2424,90.9,89.16,108,377,342,-1.7,6.43,111,150,114,150,300,323,291,9.8,-9.8
696,621074,"Rucker, Michael",696,100,0.262,0.181,0.311,0.443,0.342,0.325,0.242,39,149,91.4,7.9,2383,90.1,90.31,86,302,394,0.2,6.32,111,149,116,151,300,322,291,-2.9,2.9
347,624522,"Thompson, Keegan",347,100,0.187,0.067,0.217,0.253,0.258,0.328,0.224,14,75,88.7,16.1,2603,89.9,89.01,39,154,193,-0.9,6.03,109,150,112,151,300,321,289,2.7,-2.7
251,502202,"Boxberger, Brad",251,100,0.236,0.218,0.256,0.455,0.348,0.356,0.248,13,55,91.6,14.5,2256,88.9,88.18,26,100,151,-0.7,5.78,111,149,114,151,300,322,294,-2.2,2.2
239,676714,"Hughes, Brandon",239,100,0.264,0.151,0.353,0.415,0.343,0.355,0.26,14,53,86.8,14.5,2341,87.7,87.87,39,105,134,0.2,6.5,108,149,114,150,295,324,293,-3.8,3.8
237,669093,"Estrada, Jeremiah",237,100,0.279,0.326,0.296,0.605,0.427,0.486,0.326,12,43,96.6,17.2,2296,93.8,94.24,28,114,123,0.4,6.67,109,150,114,150,300,328,290,-5.2,5.2
200,694037,"Palencia, Daniel",200,100,0.211,0.263,0.231,0.474,0.354,0.33,0.209,8,38,88.9,17.7,2288,95.3,96.54,18,86,114,1.2,6.98,111,149,116,151,299,324,293,-1.7,1.7
199,641743,"Kay, Anthony",199,100,0.267,0.178,0.306,0.444,0.367,0.393,0.307,12,45,88.9,19.7,2523,91.2,85.24,19,101,98,-6,5.96,114,151,117,150,298,323,291,-5.5,5.5
93,668873,"Kilian, Caleb",93,100,0.476,0.095,0.588,0.571,0.496,0.458,0.409,10,21,94.5,1.1,2132,89.1,89.78,7,45,48,0.7,6.76,107,151,111,150,306,325,288,-4,4
58,595897,"Burdi, Nick",58,100,0.273,0.273,0.375,0.545,0.386,0.273,0.171,3,11,90.3,19.4,2603,94.9,94.37,12,33,25,-0.5,6.14,109,148,115,150,289,322,280,-1.1,1.1
44,621016,"Cuas, Jose",793,5.5,0.273,0,0.375,0.273,0.311,0.361,0.311,3,11,96.5,1.5,2507,90.1,90.11,6,17,27,0,6.4,111,150,122,151,299,330,293,1.1,-1.1
42,571466,"Barnhart, Tucker",42,100,0.368,0,0.368,0.368,0.325,0.433,0.407,7,19,92,14.4,1120,41.8,39.24,1,21,21,-2.6,3.51,116,150,123,150,301,323,293,1.1,-1.1
17,670156,"Mastrobuoni, Miles",17,100,0.8,0.8,0.75,1.6,1.004,0.721,0.498,4,5,101.2,17.8,1835,74.1,72.21,0,7,10,-1.9,4.96,115,147,119,151,305,324,290,-4,4
