"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-04-08","92.5","1.84","6.06","Steele, Justin",641680,657006,"force_out","hit_into_play",,,,,13,"Jonah Heim grounds into a force out, third baseman Nick Madrigal to second baseman Nico Hoerner.   Mitch Garver out at 2nd.","R","R","L","CHC","TEX","X",5,"ground_ball",1,2,2023,"-0.12","0.84","-1.05","2.35",,,641598,2,6,"Top",98.39,162.26,,,543228,,,-7.09870934965626,-134.60401769710268,-5.5497505694112075,-0.19641867932423945,25.30115472419175,-20.95657894883101,"3.44","1.64",11,"93.8",-11,"92.9",2365,"6.2",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.27",0.166,0.164,"0",1,0,0,2,47,4,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",163,"0.03","-0.172"
"SL","2023-04-08","82.9","1.72","6.18","Steele, Justin",641680,657006,,"foul",,,,,13,"Jonah Heim grounds into a force out, third baseman Nick Madrigal to second baseman Nico Hoerner.   Mitch Garver out at 2nd.","R","R","L","CHC","TEX","S",,,1,1,2023,"-1.58","-0.11","-1.25","2.29",,,641598,2,6,"Top",,,,,543228,,,-3.6970684587178297,-120.65082601646166,-2.1555485404467936,-14.64174564512848,24.465675713914816,-32.99638783879541,"3.44","1.64",135,"102.4",7,"82.6",2687,"6.2",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.3",,,,,,,,47,3,"Slider",3,1,1,3,1,3,1,3,"Standard","Standard",305,"0","-0.052"
"FF","2023-04-08","92.3","1.9","6.11","Steele, Justin",641680,657006,,"ball",,,,,12,"Jonah Heim grounds into a force out, third baseman Nick Madrigal to second baseman Nico Hoerner.   Mitch Garver out at 2nd.","R","R","L","CHC","TEX","B",,,0,1,2023,"0.08","0.9","0.72","3.68",,,641598,2,6,"Top",,,,,543228,,,-3.1962544227606142,-134.55423985140257,-2.3869896901009158,1.6223938972165641,26.447266232622002,-20.936062335157207,"3.46","1.66",,,,"92.9",2331,"6.3",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.18",,,,,,,,47,2,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",160,"0","0.023"
"FF","2023-04-08","91.9","1.77","6.15","Steele, Justin",641680,657006,,"foul",,,,,7,"Jonah Heim grounds into a force out, third baseman Nick Madrigal to second baseman Nico Hoerner.   Mitch Garver out at 2nd.","R","R","L","CHC","TEX","S",,,0,0,2023,"-0.29","1.05","-0.67","2.18",,,641598,2,6,"Top",,,,,543228,,,-5.588309785395885,-133.69860891643225,-6.521946644998078,-2.3106340574870288,27.89861952457529,-18.41155564556713,"3.44","1.64",,,,"92.4",2483,"6.5",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"53.99",,,,,,,,47,1,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",166,"0","-0.04"
"FF","2023-04-08","92.2","1.7","6.08","Steele, Justin",641598,657006,"walk","ball",,,,,13,"Mitch Garver walks.","R","R","L","CHC","TEX","B",,,3,2,2023,"-0.26","0.89","-1.46","1.16",,,,2,6,"Top",,,,,543228,,,-7.431213115950998,-133.86321362064234,-8.558830363170824,-1.5248503629449779,28.40840643251214,-19.794297826560847,"3.28","1.57",,,,"92",2426,"6.2",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.26",,,"0.7",1,0,0,,46,7,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",165,"-0.018","0.108"
"SL","2023-04-08","83.2","1.88","6.19","Steele, Justin",641598,657006,,"ball",,,,,12,"Mitch Garver walks.","R","R","L","CHC","TEX","B",,,2,2,2023,"-1.48","0.03","0.97","2.62",,,,2,6,"Top",,,,,543228,,,0.8006637603404179,-121.27064927290195,-1.7955232067812132,-14.781074493065184,23.83541120320356,-31.780982565060267,"3.54","1.68",,,,"82.7",2724,"5.9",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.6",,,,,,,,46,6,"Slider",3,1,1,3,1,3,1,3,"Standard","Standard",302,"0","0.04"
"FF","2023-04-08","91.9","1.9","6.08","Steele, Justin",641598,657006,,"ball",,,,,12,"Mitch Garver walks.","R","R","L","CHC","TEX","B",,,1,2,2023,"-0.15","0.6","0.27","4.8",,,,2,6,"Top",,,,,543228,,,-3.781980604931948,-133.81954768547956,1.2377190882329427,-1.0160381142483756,27.102116228659334,-25.408501460076007,"3.37","1.53",,,,"91.6",2320,"6",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.54",,,,,,,,46,5,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",178,"0","0.017"
"SL","2023-04-08","83.3","1.81","6.22","Steele, Justin",641598,657006,,"foul",,,,,2,"Mitch Garver walks.","R","R","L","CHC","TEX","S",,,1,2,2023,"-1.47","-0.21","0.08","2.97",,,,2,6,"Top",,,,,543228,,,-1.107957918149332,-121.4148543318707,-0.6484891599070323,-14.343809633480875,22.680124064822508,-34.299213785782655,"3.54","1.68",212,"74.5",38,"83.2",2624,"6",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.48",,,,,,,,46,4,"Slider",3,1,1,3,1,3,1,3,"Standard","Standard",312,"0","0"
"SI","2023-04-08","92.7","1.95","6.06","Steele, Justin",641598,657006,,"foul",,,,,9,"Mitch Garver walks.","R","R","L","CHC","TEX","S",,,1,1,2023,"0.38","0.72","0.51","2.22",,,,2,6,"Top",,,,,543228,,,-4.500936792320744,-134.95888820616116,-5.660811616940065,5.548381472857713,27.105884178182322,-22.334844014670438,"3.54","1.68",,,,"93",2326,"6.3",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.21",,,,,,,,46,3,"Sinker",3,1,1,3,1,3,1,3,"Standard","Standard",157,"0","-0.029"
"SL","2023-04-08","82.4","1.83","6.22","Steele, Justin",641598,657006,,"ball",,,,,14,"Mitch Garver walks.","R","R","L","CHC","TEX","B",,,0,1,2023,"-1.04","0.32","0.55","1.24",,,,2,6,"Top",,,,,543228,,,-0.8926257078069783,-119.9675609395775,-5.410441270608852,-9.888327612980882,21.877805208125302,-28.31772653758785,"3.39","1.57",,,,"82.1",2689,"6",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.54",,,,,,,,46,2,"Slider",3,1,1,3,1,3,1,3,"Strategic","Standard",304,"0","0.014"
